(0.777778, 1.166667, 5, 1) 
(0.777778, 1.166667, 5, 1) 
(1.625000, 2.000000, 6, 0) 
(0.909091, 1.800000, 4, 1) 
(0.800000, 1.600000, 5, 0) 
(1.333333, 1.428571, 4, 3) 
(1.000000, 1.500000, 4, 2) 
(1.000000, 1.333333, 6, 0) 
(0.500000, 1.000000, 5, 0) 
(0.777778, 1.166667, 5, 1) 
(1.000000, 1.833333, 3, 3) 
(0.888889, 1.166667, 5, 1) 
(1.571429, 1.571429, 6, 1) 
(0.666667, 1.000000, 3, 2) 
(2.000000, 2.250000, 3, 5) 
(1.083333, 2.250000, 4, 0) 
(0.818182, 1.600000, 4, 1) 
(2.250000, 2.250000, 4, 4) 
(1.285714, 3.666667, 3, 0) 
(0.900000, 1.500000, 4, 2) 
(1.142857, 1.142857, 6, 1) 
(1.500000, 2.000000, 5, 0) 
(0.916667, 1.000000, 4, 0) 
(1.222222, 1.833333, 5, 1) 
(2.000000, 2.000000, 6, 1) 
(0.642857, 1.666667, 3, 0) 
(1.250000, 1.428571, 5, 2) 
(0.750000, 1.250000, 4, 0) 
(0.461538, 1.200000, 2, 3) 
(0.818182, 1.333333, 3, 3) 
(1.083333, 1.250000, 4, 0) 
(1.285714, 1.285714, 6, 1) 
(0.461538, 1.000000, 3, 1) 
(1.000000, 1.250000, 4, 0) 
(1.375000, 1.833333, 6, 0) 
(1.375000, 1.833333, 6, 0) 
(1.777778, 2.000000, 3, 5) 
(1.714286, 1.714286, 6, 1) 
(1.166667, 2.000000, 4, 0) 
(1.333333, 1.833333, 5, 1) 
(1.363636, 2.142857, 2, 5) 
(1.200000, 2.000000, 4, 2) 
(0.750000, 1.000000, 6, 0) 
(2.142857, 2.142857, 6, 1) 
(1.000000, 1.500000, 5, 1) 
(2.000000, 2.000000, 6, 1) 
(1.777778, 1.875000, 3, 5) 
(1.200000, 2.400000, 5, 0) 
(2.000000, 2.400000, 5, 0) 
(1.250000, 1.428571, 5, 2) 
(1.198524, 1.659881, 4.500000, 1.300000) 
